ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,6.571428571428571,3.7857142857142856,4.0,3.2857142857142856,4.642857142857143,2.642857142857143,3.0714285714285716,IBA
LRG,6.571428571428571,2.7142857142857144,2.9285714285714284,4.571428571428571,4.571428571428571,3.2142857142857144,3.4285714285714284,IBA
KNN,5.0,4.214285714285714,2.4285714285714284,3.2142857142857144,4.642857142857143,4.214285714285714,4.285714285714286,IBA
QDA,3.7142857142857144,4.714285714285714,3.857142857142857,4.714285714285714,4.0,2.7142857142857144,4.285714285714286,IBA
SGD,5.857142857142857,3.857142857142857,4.142857142857143,2.5714285714285716,3.857142857142857,3.2857142857142856,4.428571428571429,IBA
ABC,2.7142857142857144,3.2142857142857144,4.0,3.142857142857143,5.142857142857143,5.285714285714286,4.5,IBA
RF,5.214285714285714,4.071428571428571,2.9285714285714284,3.2857142857142856,3.2857142857142856,4.357142857142857,4.857142857142857,IBA
GNB,4.071428571428571,3.7142857142857144,3.5714285714285716,3.142857142857143,4.142857142857143,4.214285714285714,5.142857142857143,IBA
MLP,6.642857142857143,3.2857142857142856,2.9285714285714284,3.5714285714285716,2.9285714285714284,2.9285714285714284,5.714285714285714,IBA
DTREE,4.142857142857143,3.7857142857142856,2.2142857142857144,3.4285714285714284,4.714285714285714,3.4285714285714284,6.285714285714286,IBA
avarage,5.05,3.7357142857142853,3.3,3.492857142857143,4.192857142857142,3.6285714285714286,4.6,IBA
std,1.369016562794749,0.5614707767164521,0.701310726207633,0.6602153843568752,0.6909276028506551,0.8556865936108037,0.9655048143252631,IBA
