ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,2.9285714285714284,3.142857142857143,4.642857142857143,5.071428571428571,3.2857142857142856,2.357142857142857,GEO
SVM,6.214285714285714,3.7142857142857144,3.9285714285714284,3.5714285714285716,4.571428571428571,3.142857142857143,2.857142857142857,GEO
ABC,2.7857142857142856,3.642857142857143,4.142857142857143,3.2857142857142856,5.071428571428571,5.571428571428571,3.5,GEO
QDA,3.9285714285714284,5.0,4.214285714285714,4.928571428571429,3.5714285714285716,2.357142857142857,4.0,GEO
DTREE,4.785714285714286,4.214285714285714,2.5,3.5714285714285716,4.714285714285714,4.0,4.214285714285714,GEO
RF,5.0,4.142857142857143,3.2142857142857144,3.2857142857142856,3.642857142857143,4.285714285714286,4.428571428571429,GEO
SGD,6.0,3.642857142857143,4.0,2.5714285714285716,4.0,3.142857142857143,4.642857142857143,GEO
KNN,4.642857142857143,3.7142857142857144,2.5,3.642857142857143,4.285714285714286,4.428571428571429,4.785714285714286,GEO
GNB,3.857142857142857,3.642857142857143,3.5,2.9285714285714284,3.9285714285714284,4.428571428571429,5.714285714285714,GEO
MLP,6.642857142857143,3.0714285714285716,2.7857142857142856,3.7857142857142856,2.857142857142857,3.0714285714285716,5.785714285714286,GEO
avarage,5.042857142857143,3.7714285714285714,3.3928571428571432,3.621428571428571,4.171428571428571,3.7714285714285722,4.2285714285714295,GEO
std,1.2976518126051262,0.5868938953886337,0.6634702282425131,0.7143253957231654,0.7104659772022195,0.9390736980827644,1.1115758665199054,GEO
