ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.857142857142857,3.357142857142857,2.857142857142857,4.857142857142857,4.5,3.5714285714285716,4.0,REC
ABC,2.142857142857143,3.7142857142857144,3.857142857142857,3.4285714285714284,5.5,5.071428571428571,4.285714285714286,REC
RF,3.5,4.0,3.5,2.4285714285714284,4.785714285714286,4.571428571428571,5.214285714285714,REC
DTREE,4.0,3.857142857142857,2.5,3.0714285714285716,5.428571428571429,3.857142857142857,5.285714285714286,REC
KNN,3.142857142857143,4.5,2.0,4.0,4.714285714285714,4.142857142857143,5.5,REC
QDA,4.214285714285714,4.571428571428571,3.357142857142857,3.7142857142857144,3.7857142857142856,2.7857142857142856,5.571428571428571,REC
SGD,4.285714285714286,3.642857142857143,3.857142857142857,2.7142857142857144,4.357142857142857,3.5714285714285716,5.571428571428571,REC
SVM,4.642857142857143,3.4285714285714284,3.4285714285714284,3.642857142857143,3.857142857142857,3.142857142857143,5.857142857142857,REC
GNB,3.4285714285714284,3.7142857142857144,3.4285714285714284,3.357142857142857,4.571428571428571,3.5714285714285716,5.928571428571429,REC
MLP,5.642857142857143,3.2142857142857144,2.7857142857142856,2.857142857142857,3.7142857142857144,3.4285714285714284,6.357142857142857,REC
avarage,3.9857142857142853,3.8000000000000007,3.157142857142857,3.407142857142857,4.5214285714285705,3.7714285714285714,5.357142857142856,REC
std,0.9850354230079744,0.45275673615256046,0.6040303036352982,0.703932910120072,0.6281835022281749,0.6732666498939409,0.7229631643185226,REC
