ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,3.357142857142857,2.5,4.857142857142857,5.0,3.7857142857142856,3.5,F1
SVM,5.071428571428571,3.7142857142857144,3.2142857142857144,4.0,4.285714285714286,3.5,4.214285714285714,F1
RF,4.357142857142857,4.357142857142857,3.357142857142857,2.4285714285714284,4.357142857142857,4.857142857142857,4.285714285714286,F1
DTREE,4.428571428571429,4.0,2.5,2.7857142857142856,5.571428571428571,4.428571428571429,4.285714285714286,F1
QDA,4.428571428571429,4.928571428571429,3.7857142857142856,4.142857142857143,3.5,2.857142857142857,4.357142857142857,F1
ABC,2.357142857142857,3.7857142857142856,3.642857142857143,3.142857142857143,5.571428571428571,5.071428571428571,4.428571428571429,F1
SGD,4.428571428571429,3.357142857142857,3.642857142857143,3.142857142857143,4.571428571428571,3.5,5.357142857142857,F1
GNB,3.4285714285714284,3.642857142857143,3.5714285714285716,2.7857142857142856,4.642857142857143,4.0,5.928571428571429,F1
KNN,3.5,4.142857142857143,2.0,3.9285714285714284,4.428571428571429,3.9285714285714284,6.071428571428571,F1
MLP,6.285714285714286,3.0714285714285716,2.5,3.2142857142857144,3.5,3.357142857142857,6.071428571428571,F1
avarage,4.328571428571428,3.8357142857142854,3.0714285714285716,3.442857142857143,4.542857142857143,3.9285714285714284,4.85,F1
std,1.0670280000236483,0.5461159495798374,0.6362090102803517,0.7572776160399184,0.7168208978165224,0.6900655593423541,0.9242573779420276,F1
