ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,3.2857142857142856,3.4285714285714284,4.428571428571429,4.928571428571429,3.4285714285714284,2.0,SPE
SVM,6.142857142857143,3.9285714285714284,4.071428571428571,3.7142857142857144,4.428571428571429,3.0,2.7142857142857144,SPE
ABC,4.142857142857143,2.7857142857142856,4.214285714285714,3.7857142857142856,4.214285714285714,5.785714285714286,3.0714285714285716,SPE
KNN,5.642857142857143,3.2142857142857144,3.0,3.642857142857143,4.214285714285714,5.142857142857143,3.142857142857143,SPE
DTREE,4.357142857142857,5.357142857142857,3.357142857142857,4.142857142857143,3.857142857142857,3.2857142857142856,3.642857142857143,SPE
MLP,6.857142857142857,3.4285714285714284,4.142857142857143,3.0714285714285716,2.7857142857142856,3.7857142857142856,3.9285714285714284,SPE
RF,5.5,4.142857142857143,4.0,3.9285714285714284,3.2142857142857144,3.2142857142857144,4.0,SPE
SGD,6.357142857142857,4.071428571428571,4.357142857142857,3.0,3.5,2.642857142857143,4.071428571428571,SPE
QDA,4.071428571428571,4.5,3.4285714285714284,3.857142857142857,4.285714285714286,3.4285714285714284,4.428571428571429,SPE
GNB,4.428571428571429,2.857142857142857,3.4285714285714284,3.357142857142857,2.7857142857142856,5.5,5.642857142857143,SPE
avarage,5.4,3.757142857142857,3.7428571428571424,3.692857142857143,3.8214285714285716,3.9214285714285717,3.6642857142857137,SPE
std,1.0670280000236485,0.8005100414926799,0.46315491107763157,0.449300287446291,0.7255070945329806,1.1230677535831586,1.007933383322241,SPE
