ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.785714285714286,3.142857142857143,3.5,4.928571428571429,4.642857142857143,3.5714285714285716,2.4285714285714284,PRE
QDA,3.9285714285714284,4.5,4.0,4.928571428571429,3.9285714285714284,3.4285714285714284,3.2857142857142856,PRE
SVM,5.785714285714286,3.4285714285714284,3.857142857142857,4.0,4.142857142857143,3.2857142857142856,3.5,PRE
ABC,2.7142857142857144,3.5,3.857142857142857,3.2857142857142856,5.0,5.5,4.142857142857143,PRE
MLP,6.285714285714286,3.357142857142857,3.4285714285714284,3.4285714285714284,3.2142857142857144,3.642857142857143,4.642857142857143,PRE
SGD,5.714285714285714,3.7142857142857144,4.0,2.357142857142857,3.857142857142857,3.5,4.857142857142857,PRE
GNB,3.9285714285714284,2.857142857142857,4.214285714285714,3.357142857142857,3.857142857142857,4.785714285714286,5.0,PRE
RF,4.785714285714286,4.142857142857143,3.5714285714285716,2.0714285714285716,4.142857142857143,4.0,5.285714285714286,PRE
KNN,3.7857142857142856,4.142857142857143,2.4285714285714284,3.7142857142857144,4.285714285714286,4.285714285714286,5.357142857142857,PRE
DTREE,4.642857142857143,3.5714285714285716,2.357142857142857,2.857142857142857,5.0,3.7857142857142856,5.785714285714286,PRE
avarage,4.735714285714286,3.635714285714286,3.5214285714285714,3.4928571428571424,4.207142857142857,3.9785714285714286,4.428571428571428,PRE
std,1.148325212494611,0.5010759398590886,0.6433419688539594,0.9550260886132761,0.5547670140782499,0.6982728936551994,1.0669217382099085,PRE
