ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.857142857142857,3.357142857142857,2.857142857142857,4.857142857142857,4.428571428571429,3.5714285714285716,4.071428571428571,REC
QDA,4.357142857142857,4.714285714285714,3.4285714285714284,3.9285714285714284,3.9285714285714284,2.7857142857142856,4.857142857142857,REC
SVM,4.785714285714286,3.5714285714285716,3.5714285714285716,3.7857142857142856,4.0,3.2857142857142856,5.0,REC
DTREE,3.9285714285714284,3.7142857142857144,2.4285714285714284,2.9285714285714284,5.642857142857143,3.9285714285714284,5.428571428571429,REC
ABC,2.0,3.5,3.4285714285714284,3.142857142857143,5.357142857142857,4.785714285714286,5.785714285714286,REC
GNB,3.4285714285714284,3.7142857142857144,3.4285714285714284,3.357142857142857,4.642857142857143,3.5714285714285716,5.857142857142857,REC
RF,3.4285714285714284,3.9285714285714284,3.357142857142857,2.2142857142857144,4.642857142857143,4.428571428571429,6.0,REC
SGD,4.428571428571429,3.5,3.7142857142857144,2.7142857142857144,4.214285714285714,3.4285714285714284,6.0,REC
MLP,5.571428571428571,3.2142857142857144,2.7857142857142856,3.0,3.857142857142857,3.5,6.071428571428571,REC
KNN,3.0714285714285716,4.285714285714286,2.0714285714285716,3.857142857142857,4.571428571428571,4.0,6.142857142857143,REC
avarage,3.985714285714286,3.75,3.107142857142857,3.3785714285714286,4.528571428571429,3.7285714285714286,5.5214285714285705,REC
std,1.0355363831884563,0.4533198277299945,0.5432016450738016,0.7514536177852493,0.5920868968521734,0.5771538581381215,0.6793437543011172,REC
