ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,3.142857142857143,3.357142857142857,4.428571428571429,4.928571428571429,3.357142857142857,2.2142857142857144,SPE
ABC,4.071428571428571,2.9285714285714284,4.428571428571429,3.7857142857142856,4.357142857142857,5.857142857142857,2.5714285714285716,SPE
SVM,6.142857142857143,3.9285714285714284,4.071428571428571,3.7142857142857144,4.428571428571429,3.142857142857143,2.5714285714285716,SPE
MLP,7.0,3.5714285714285716,4.214285714285714,3.0714285714285716,3.0,3.9285714285714284,3.2142857142857144,SPE
RF,5.5,4.214285714285714,4.142857142857143,4.142857142857143,3.2142857142857144,3.357142857142857,3.4285714285714284,SPE
KNN,5.5,3.2142857142857144,3.0,3.7142857142857144,4.071428571428571,5.071428571428571,3.4285714285714284,SPE
DTREE,4.357142857142857,5.214285714285714,3.4285714285714284,4.071428571428571,3.857142857142857,3.4285714285714284,3.642857142857143,SPE
GNB,4.714285714285714,3.2857142857142856,3.857142857142857,3.642857142857143,3.0714285714285716,5.642857142857143,3.7857142857142856,SPE
SGD,6.428571428571429,4.214285714285714,4.357142857142857,3.0714285714285716,3.5,2.642857142857143,3.7857142857142856,SPE
QDA,3.7857142857142856,4.357142857142857,3.4285714285714284,3.7857142857142856,4.071428571428571,3.4285714285714284,5.142857142857143,SPE
avarage,5.4071428571428575,3.807142857142857,3.8285714285714283,3.7428571428571424,3.85,3.985714285714286,3.378571428571429,SPE
std,1.1299118019881502,0.7087483778031163,0.491653695205345,0.4288358972350258,0.6419305491499627,1.1232444099728016,0.8303006039805834,SPE
