ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.7142857142857144,2.9285714285714284,4.642857142857143,4.785714285714286,3.2142857142857144,3.2142857142857144,IBA
SVM,6.5,3.5,3.857142857142857,3.2142857142857144,4.428571428571429,2.5,4.0,IBA
ABC,3.0,3.0,4.142857142857143,3.142857142857143,5.214285714285714,5.285714285714286,4.214285714285714,IBA
KNN,5.0,4.285714285714286,2.4285714285714284,3.142857142857143,4.5,4.214285714285714,4.428571428571429,IBA
QDA,3.7857142857142856,4.785714285714286,3.9285714285714284,4.714285714285714,3.9285714285714284,2.4285714285714284,4.428571428571429,IBA
SGD,5.714285714285714,3.7142857142857144,4.285714285714286,2.5714285714285716,4.0,3.142857142857143,4.571428571428571,IBA
RF,5.214285714285714,4.142857142857143,2.9285714285714284,3.2857142857142856,3.5714285714285716,4.142857142857143,4.714285714285714,IBA
GNB,4.071428571428571,3.7142857142857144,3.5714285714285716,3.0714285714285716,4.285714285714286,4.214285714285714,5.071428571428571,IBA
MLP,6.642857142857143,3.4285714285714284,2.9285714285714284,3.5714285714285716,2.9285714285714284,3.2142857142857144,5.285714285714286,IBA
DTREE,4.285714285714286,3.7857142857142856,2.357142857142857,3.4285714285714284,4.857142857142857,3.7142857142857144,5.571428571428571,IBA
avarage,5.071428571428571,3.7071428571428577,3.3357142857142854,3.4785714285714286,4.25,3.6071428571428577,4.55,IBA
std,1.2715266593160657,0.6055768786942499,0.707948074501567,0.6843322713392757,0.6711161042597811,0.88143487430537,0.6759976250813653,IBA
