ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.214285714285714,3.357142857142857,2.5,5.0,5.0,3.7857142857142856,3.142857142857143,F1
SVM,5.071428571428571,3.7142857142857144,3.2142857142857144,4.0,4.285714285714286,3.5714285714285716,4.142857142857143,F1
RF,4.214285714285714,4.357142857142857,3.0714285714285716,2.2142857142857144,4.142857142857143,4.785714285714286,5.214285714285714,F1
SGD,4.571428571428571,3.357142857142857,3.5,3.2857142857142856,4.714285714285714,3.357142857142857,5.214285714285714,F1
ABC,2.2142857142857144,3.5,3.642857142857143,3.0,5.285714285714286,4.928571428571429,5.428571428571429,F1
QDA,4.214285714285714,4.714285714285714,3.5,3.7142857142857144,3.4285714285714284,2.857142857142857,5.571428571428571,F1
GNB,3.4285714285714284,3.642857142857143,3.5714285714285716,2.7857142857142856,4.642857142857143,4.0,5.928571428571429,F1
MLP,6.214285714285714,3.0714285714285716,2.5,3.2142857142857144,3.5714285714285716,3.4285714285714284,6.0,F1
KNN,3.5714285714285716,4.0,2.0,4.0,4.285714285714286,4.071428571428571,6.071428571428571,F1
DTREE,4.071428571428571,3.7857142857142856,2.2142857142857144,2.5714285714285716,5.214285714285714,3.857142857142857,6.285714285714286,F1
avarage,4.2785714285714285,3.75,2.9714285714285715,3.378571428571429,4.457142857142857,3.864285714285714,5.3,F1
std,1.099087438413756,0.4951579605496528,0.6146362971528592,0.8199952989191055,0.6372773720912989,0.632141736166166,0.9746212707073413,F1
