ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.785714285714286,3.0,3.5,4.928571428571429,4.785714285714286,3.5714285714285716,2.4285714285714284,PRE
SVM,5.785714285714286,3.5,4.0,4.071428571428571,4.142857142857143,3.5,3.0,PRE
SGD,5.714285714285714,3.857142857142857,4.214285714285714,2.5,3.857142857142857,3.7857142857142856,4.071428571428571,PRE
GNB,4.142857142857143,3.0,4.142857142857143,3.5,4.142857142857143,4.928571428571429,4.142857142857143,PRE
ABC,2.5714285714285716,3.2857142857142856,3.857142857142857,3.357142857142857,4.928571428571429,5.5,4.5,PRE
QDA,3.857142857142857,4.214285714285714,3.7142857142857144,4.571428571428571,3.857142857142857,3.2857142857142856,4.5,PRE
KNN,3.7857142857142856,4.285714285714286,2.5714285714285716,3.857142857142857,4.357142857142857,4.5,4.642857142857143,PRE
DTREE,4.928571428571429,3.7142857142857144,2.5,3.0,5.285714285714286,3.9285714285714284,4.642857142857143,PRE
MLP,6.285714285714286,3.2857142857142856,3.5,3.357142857142857,3.2857142857142856,3.642857142857143,4.642857142857143,PRE
RF,4.714285714285714,3.857142857142857,3.5714285714285716,2.0714285714285716,4.071428571428571,3.9285714285714284,5.785714285714286,PRE
avarage,4.757142857142857,3.599999999999999,3.557142857142857,3.5214285714285714,4.2714285714285705,4.057142857142857,4.235714285714286,PRE
std,1.1694330661244041,0.46192930715343905,0.5945710548193757,0.8800188103534854,0.5888225693199859,0.7037315505489968,0.9349900262603603,PRE
