ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.857142857142857,3.142857142857143,3.642857142857143,4.928571428571429,4.785714285714286,3.7142857142857144,1.9285714285714286,PRE
SVM,5.785714285714286,3.5,3.857142857142857,4.071428571428571,4.142857142857143,3.4285714285714284,3.2142857142857144,PRE
QDA,3.857142857142857,4.5,4.0,4.857142857142857,4.0,3.4285714285714284,3.357142857142857,PRE
GNB,4.214285714285714,3.0,4.285714285714286,3.5,4.357142857142857,4.928571428571429,3.7142857142857144,PRE
SGD,5.714285714285714,4.0,4.428571428571429,2.5,4.0,3.642857142857143,3.7142857142857144,PRE
MLP,6.357142857142857,3.2857142857142856,3.4285714285714284,3.2857142857142856,3.142857142857143,3.642857142857143,4.857142857142857,PRE
ABC,2.5714285714285716,3.142857142857143,3.7142857142857144,3.357142857142857,4.928571428571429,5.357142857142857,4.928571428571429,PRE
RF,4.785714285714286,4.071428571428571,3.5714285714285716,2.2142857142857144,4.214285714285714,4.0,5.142857142857143,PRE
KNN,3.5714285714285716,4.142857142857143,2.4285714285714284,3.7142857142857144,4.214285714285714,4.428571428571429,5.5,PRE
DTREE,4.357142857142857,3.5,2.4285714285714284,2.7142857142857144,4.714285714285714,3.857142857142857,6.428571428571429,PRE
avarage,4.707142857142857,3.6285714285714286,3.5785714285714283,3.514285714285714,4.250000000000001,4.042857142857144,4.278571428571428,PRE
std,1.2095847378729767,0.5137563413051877,0.6805110124716853,0.9183194746907918,0.5098241215562824,0.6565559836275869,1.323282697501055,PRE
