ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,3.2857142857142856,3.5,4.428571428571429,4.928571428571429,3.5,1.7857142857142858,SPE
SVM,6.142857142857143,3.9285714285714284,4.071428571428571,3.7142857142857144,4.428571428571429,3.142857142857143,2.5714285714285716,SPE
ABC,4.142857142857143,2.7142857142857144,4.357142857142857,3.9285714285714284,4.285714285714286,5.857142857142857,2.7142857142857144,SPE
RF,5.571428571428571,4.214285714285714,4.214285714285714,4.214285714285714,3.357142857142857,3.5,2.9285714285714284,SPE
SGD,6.5,4.214285714285714,4.714285714285714,3.142857142857143,3.642857142857143,2.7857142857142856,3.0,SPE
MLP,7.0,3.642857142857143,4.214285714285714,3.0714285714285716,2.9285714285714284,4.0,3.142857142857143,SPE
GNB,4.785714285714286,3.357142857142857,3.9285714285714284,3.642857142857143,3.142857142857143,5.857142857142857,3.2857142857142856,SPE
KNN,5.5,3.142857142857143,2.9285714285714284,3.7142857142857144,4.285714285714286,5.071428571428571,3.357142857142857,SPE
DTREE,4.428571428571429,5.071428571428571,3.357142857142857,4.214285714285714,3.7142857142857144,3.357142857142857,3.857142857142857,SPE
QDA,4.071428571428571,4.571428571428571,3.5714285714285716,4.071428571428571,4.428571428571429,3.4285714285714284,3.857142857142857,SPE
avarage,5.4714285714285715,3.8142857142857145,3.885714285714286,3.8142857142857145,3.9142857142857146,4.05,3.05,SPE
std,1.0723276650889841,0.7199773239059516,0.5379055712930644,0.45074893585520887,0.6518767603294325,1.1289079265272095,0.6163402335128805,SPE
