ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,2.9285714285714284,3.142857142857143,4.642857142857143,5.071428571428571,3.142857142857143,2.5,GEO
SVM,6.214285714285714,3.7142857142857144,3.9285714285714284,3.5714285714285716,4.571428571428571,3.142857142857143,2.857142857142857,GEO
ABC,2.7857142857142856,3.5714285714285716,4.285714285714286,3.4285714285714284,5.071428571428571,5.571428571428571,3.2857142857142856,GEO
DTREE,4.928571428571429,4.142857142857143,2.4285714285714284,3.5714285714285716,5.0,3.9285714285714284,4.0,GEO
QDA,3.857142857142857,5.0,4.285714285714286,4.785714285714286,3.642857142857143,2.357142857142857,4.071428571428571,GEO
KNN,5.0,3.7142857142857144,2.5714285714285716,3.7142857142857144,4.285714285714286,4.428571428571429,4.285714285714286,GEO
GNB,4.0,3.7857142857142856,3.7142857142857144,3.2857142857142856,4.214285714285714,4.571428571428571,4.428571428571429,GEO
SGD,6.0,3.5714285714285716,4.0,2.2857142857142856,4.142857142857143,3.142857142857143,4.857142857142857,GEO
RF,4.714285714285714,3.9285714285714284,3.0714285714285716,3.2857142857142856,3.642857142857143,4.214285714285714,5.142857142857143,GEO
MLP,6.714285714285714,3.2857142857142856,2.7857142857142856,3.7857142857142856,2.9285714285714284,3.2142857142857144,5.285714285714286,GEO
avarage,5.078571428571428,3.764285714285714,3.421428571428571,3.6357142857142852,4.257142857142857,3.7714285714285714,4.071428571428571,GEO
std,1.2960125485801044,0.5481881101242827,0.705863039396091,0.7058630393960911,0.7080681776620715,0.9444911286314404,0.9416057111088184,GEO
