ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.857142857142857,3.0714285714285716,4.714285714285714,4.857142857142857,3.357142857142857,2.642857142857143,IBA
SVM,6.5,3.5,3.857142857142857,3.2142857142857144,4.428571428571429,2.5,4.0,IBA
SGD,5.571428571428571,4.0,4.142857142857143,2.857142857142857,4.0,3.4285714285714284,4.0,IBA
ABC,2.7142857142857144,3.142857142857143,4.0,3.142857142857143,5.142857142857143,5.285714285714286,4.571428571428571,IBA
QDA,3.857142857142857,4.714285714285714,3.857142857142857,4.642857142857143,3.857142857142857,2.4285714285714284,4.642857142857143,IBA
GNB,4.0,3.7142857142857144,3.5714285714285716,3.142857142857143,4.285714285714286,4.214285714285714,5.071428571428571,IBA
KNN,4.785714285714286,4.214285714285714,2.357142857142857,3.0714285714285716,4.357142857142857,4.071428571428571,5.142857142857143,IBA
MLP,6.571428571428571,3.4285714285714284,3.0,3.642857142857143,3.0,3.2142857142857144,5.142857142857143,IBA
RF,5.0,3.9285714285714284,2.9285714285714284,3.142857142857143,3.2857142857142856,3.9285714285714284,5.785714285714286,IBA
DTREE,4.357142857142857,3.7142857142857144,2.2142857142857144,3.4285714285714284,4.642857142857143,3.5714285714285716,6.071428571428571,IBA
avarage,4.985714285714286,3.7214285714285715,3.3,3.499999999999999,4.185714285714285,3.6,4.707142857142857,IBA
std,1.3031446355040885,0.533938856937614,0.6866065623255951,0.655519042758867,0.6693822244116412,0.8412548665932895,0.9900010307147799,IBA
