ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,3.357142857142857,2.857142857142857,4.785714285714286,4.357142857142857,3.5714285714285716,4.071428571428571,REC
QDA,4.5,4.714285714285714,3.4285714285714284,3.9285714285714284,3.857142857142857,2.7857142857142856,4.785714285714286,REC
DTREE,4.071428571428571,3.857142857142857,2.4285714285714284,3.0714285714285716,5.714285714285714,3.9285714285714284,4.928571428571429,REC
SVM,4.857142857142857,3.5714285714285716,3.5714285714285716,3.7857142857142856,4.0,3.2857142857142856,4.928571428571429,REC
ABC,2.0,3.5714285714285716,3.5714285714285716,3.2857142857142856,5.642857142857143,4.928571428571429,5.0,REC
RF,3.5,4.142857142857143,3.357142857142857,2.4285714285714284,4.785714285714286,4.5,5.285714285714286,REC
SGD,4.428571428571429,3.5,4.0,2.857142857142857,4.214285714285714,3.7142857142857144,5.285714285714286,REC
GNB,3.5714285714285716,3.7857142857142856,3.5,3.5714285714285716,4.571428571428571,3.4285714285714284,5.571428571428571,REC
MLP,5.642857142857143,3.2142857142857144,2.7857142857142856,3.0,3.7857142857142856,3.5,6.071428571428571,REC
KNN,2.9285714285714284,4.214285714285714,1.9285714285714286,3.7142857142857144,4.571428571428571,3.857142857142857,6.785714285714286,REC
avarage,4.05,3.792857142857143,3.142857142857143,3.442857142857142,4.55,3.75,5.2714285714285705,REC
std,1.0764696224569288,0.45481799703929815,0.6281383789653772,0.6647932862015716,0.6768357082510637,0.6091237526412396,0.7459641982253662,REC
