ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.785714285714286,2.857142857142857,3.357142857142857,4.928571428571429,4.785714285714286,3.2857142857142856,3.0,PRE
SVM,5.857142857142857,3.5,4.0,4.0,4.142857142857143,3.4285714285714284,3.0714285714285716,PRE
RF,5.071428571428571,4.428571428571429,3.857142857142857,2.4285714285714284,4.357142857142857,4.5,3.357142857142857,PRE
ABC,2.642857142857143,3.4285714285714284,4.0,3.4285714285714284,5.142857142857143,5.571428571428571,3.7857142857142856,PRE
MLP,6.357142857142857,3.4285714285714284,3.5714285714285716,3.4285714285714284,3.2857142857142856,3.642857142857143,4.285714285714286,PRE
QDA,3.7142857142857144,4.357142857142857,3.857142857142857,4.642857142857143,4.0,3.142857142857143,4.285714285714286,PRE
SGD,5.571428571428571,3.9285714285714284,4.142857142857143,2.357142857142857,3.857142857142857,3.5,4.642857142857143,PRE
DTREE,4.785714285714286,3.642857142857143,2.642857142857143,2.9285714285714284,5.0,3.857142857142857,5.142857142857143,PRE
KNN,3.5,4.142857142857143,2.4285714285714284,3.7142857142857144,4.214285714285714,4.5,5.5,PRE
GNB,3.9285714285714284,2.7142857142857144,3.857142857142857,3.2142857142857144,4.0,4.785714285714286,5.5,PRE
avarage,4.721428571428571,3.6428571428571432,3.5714285714285716,3.5071428571428562,4.278571428571428,4.021428571428571,4.257142857142857,PRE
std,1.220316489932389,0.5822390124113087,0.5918953759360026,0.8508032752357784,0.5648931831683072,0.7853895432801976,0.9453310497655272,PRE
