ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,3.0714285714285716,3.142857142857143,4.642857142857143,5.0,3.2857142857142856,2.357142857142857,GEO
SVM,6.214285714285714,3.7142857142857144,3.9285714285714284,3.5714285714285716,4.571428571428571,3.142857142857143,2.857142857142857,GEO
QDA,3.7142857142857144,4.928571428571429,4.142857142857143,4.928571428571429,3.9285714285714284,2.5,3.857142857142857,GEO
DTREE,4.857142857142857,4.428571428571429,2.5,3.5714285714285716,4.714285714285714,4.0,3.9285714285714284,GEO
RF,5.071428571428571,4.142857142857143,3.0,3.357142857142857,3.7857142857142856,4.214285714285714,4.428571428571429,GEO
KNN,4.857142857142857,3.5714285714285716,2.5714285714285716,3.5714285714285716,4.285714285714286,4.285714285714286,4.857142857142857,GEO
ABC,2.7857142857142856,3.142857142857143,3.7142857142857144,3.0,4.928571428571429,5.357142857142857,5.071428571428571,GEO
GNB,4.071428571428571,3.642857142857143,3.4285714285714284,3.0,4.0,4.642857142857143,5.214285714285714,GEO
SGD,5.571428571428571,3.5714285714285716,3.857142857142857,2.4285714285714284,4.0,3.142857142857143,5.428571428571429,GEO
MLP,6.642857142857143,3.0714285714285716,2.642857142857143,3.7142857142857144,2.7857142857142856,3.142857142857143,6.0,GEO
avarage,5.0285714285714285,3.7285714285714286,3.2928571428571423,3.5785714285714283,4.2,3.7714285714285714,4.3999999999999995,GEO
std,1.2563670044563497,0.6114923568568386,0.6074462360614439,0.7464580004831223,0.6587970897341434,0.8707908152885685,1.155289521094613,GEO
