ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.928571428571429,3.142857142857143,2.357142857142857,4.857142857142857,4.928571428571429,3.642857142857143,4.142857142857143,F1
SVM,5.071428571428571,3.7142857142857144,3.2142857142857144,4.0,4.285714285714286,3.5714285714285716,4.142857142857143,F1
DTREE,4.428571428571429,4.0,2.357142857142857,2.642857142857143,5.5,4.071428571428571,5.0,F1
SGD,4.571428571428571,3.4285714285714284,3.5714285714285716,3.142857142857143,4.571428571428571,3.4285714285714284,5.285714285714286,F1
QDA,4.285714285714286,4.642857142857143,3.5,3.7857142857142856,3.5,2.857142857142857,5.428571428571429,F1
GNB,3.357142857142857,3.5714285714285716,3.5,2.9285714285714284,4.571428571428571,4.285714285714286,5.785714285714286,F1
ABC,2.2142857142857144,3.5,3.4285714285714284,3.0,5.142857142857143,4.785714285714286,5.928571428571429,F1
MLP,6.285714285714286,3.0714285714285716,2.5,3.0714285714285716,3.5714285714285716,3.5,6.0,F1
RF,4.071428571428571,4.214285714285714,3.0714285714285716,2.0,4.071428571428571,4.5,6.071428571428571,F1
KNN,3.4285714285714284,4.0,2.0714285714285716,3.9285714285714284,4.428571428571429,3.9285714285714284,6.214285714285714,F1
avarage,4.264285714285714,3.728571428571429,2.9571428571428573,3.3357142857142863,4.457142857142857,3.8571428571428568,5.4,F1
std,1.1086395413537535,0.4900367888452547,0.5755801568911169,0.8137494753404022,0.6399404734221844,0.5724197752462526,0.7627970965013166,F1
