ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,3.142857142857143,3.357142857142857,4.428571428571429,4.928571428571429,3.357142857142857,2.2142857142857144,SPE
SVM,6.142857142857143,3.9285714285714284,4.071428571428571,3.7142857142857144,4.428571428571429,3.142857142857143,2.5714285714285716,SPE
ABC,4.142857142857143,2.857142857142857,4.285714285714286,3.857142857142857,4.285714285714286,5.928571428571429,2.642857142857143,SPE
MLP,7.0,3.7142857142857144,4.285714285714286,3.2142857142857144,3.0,3.9285714285714284,2.857142857142857,SPE
KNN,5.642857142857143,3.2142857142857144,3.0,3.5714285714285716,4.142857142857143,5.071428571428571,3.357142857142857,SPE
RF,5.5,4.0,4.0,3.857142857142857,3.2142857142857144,3.4285714285714284,4.0,SPE
SGD,6.357142857142857,4.071428571428571,4.428571428571429,3.0,3.5,2.642857142857143,4.0,SPE
DTREE,4.357142857142857,5.071428571428571,3.2857142857142856,4.142857142857143,3.642857142857143,3.4285714285714284,4.071428571428571,SPE
QDA,3.7142857142857144,4.357142857142857,3.5,3.857142857142857,4.214285714285714,3.4285714285714284,4.928571428571429,SPE
GNB,4.571428571428571,3.142857142857143,3.4285714285714284,3.2857142857142856,2.7857142857142856,5.5,5.285714285714286,SPE
avarage,5.3999999999999995,3.75,3.764285714285714,3.692857142857143,3.8142857142857145,3.985714285714286,3.592857142857143,SPE
std,1.1384836954109414,0.6778400402612741,0.5051323887445054,0.4365007214410925,0.6926893922273594,1.1100448398534453,1.0356732339976,SPE
