ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,4.142857142857143,3.857142857142857,2.7142857142857144,3.2142857142857144,5.857142857142857,4.357142857142857,3.857142857142857,REC
QDA,4.5,4.857142857142857,3.4285714285714284,3.9285714285714284,3.7857142857142856,3.0,4.5,REC
LRG,4.857142857142857,3.2142857142857144,2.642857142857143,4.642857142857143,4.214285714285714,3.4285714285714284,5.0,REC
ABC,2.0,3.4285714285714284,3.4285714285714284,3.142857142857143,5.5,4.928571428571429,5.571428571428571,REC
GNB,3.5,3.642857142857143,3.4285714285714284,3.5,4.428571428571429,3.857142857142857,5.642857142857143,REC
SVM,4.642857142857143,3.4285714285714284,3.4285714285714284,3.642857142857143,3.857142857142857,3.142857142857143,5.857142857142857,REC
SGD,4.142857142857143,3.5,4.0,2.7142857142857144,4.357142857142857,3.4285714285714284,5.857142857142857,REC
MLP,5.642857142857143,3.2857142857142856,2.9285714285714284,2.9285714285714284,3.857142857142857,3.4285714285714284,5.928571428571429,REC
KNN,3.0714285714285716,4.428571428571429,2.0714285714285716,3.857142857142857,4.571428571428571,4.0,6.0,REC
RF,3.4285714285714284,3.857142857142857,3.357142857142857,2.357142857142857,4.571428571428571,4.285714285714286,6.142857142857143,REC
avarage,3.992857142857143,3.75,3.1428571428571423,3.3928571428571423,4.499999999999999,3.7857142857142856,5.435714285714285,REC
std,1.0315048558168285,0.5262389548881035,0.5512303287042963,0.6651769068904283,0.6908865775498526,0.6098213559459856,0.74797534730859,REC
