ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.857142857142857,3.357142857142857,2.857142857142857,4.714285714285714,4.357142857142857,3.5714285714285716,4.285714285714286,REC
RF,3.7142857142857144,4.285714285714286,3.4285714285714284,2.4285714285714284,4.857142857142857,4.428571428571429,4.857142857142857,REC
SVM,4.785714285714286,3.5714285714285716,3.5714285714285716,3.7857142857142856,4.0,3.2857142857142856,5.0,REC
DTREE,4.142857142857143,4.0,2.2857142857142856,2.9285714285714284,5.571428571428571,3.7857142857142856,5.285714285714286,REC
SGD,4.285714285714286,3.642857142857143,4.0,2.7142857142857144,4.285714285714286,3.7142857142857144,5.357142857142857,REC
QDA,4.285714285714286,4.642857142857143,3.357142857142857,3.7142857142857144,3.7857142857142856,2.7857142857142856,5.428571428571429,REC
KNN,3.2142857142857144,4.428571428571429,2.0,3.9285714285714284,4.714285714285714,4.071428571428571,5.642857142857143,REC
GNB,3.4285714285714284,3.7142857142857144,3.4285714285714284,3.357142857142857,4.5,3.4285714285714284,6.142857142857143,REC
ABC,2.0,3.2857142857142856,3.4285714285714284,3.0,5.357142857142857,4.785714285714286,6.142857142857143,REC
MLP,5.5,3.2142857142857144,2.7857142857142856,3.0,3.7142857142857144,3.357142857142857,6.428571428571429,REC
avarage,4.021428571428571,3.8142857142857145,3.1142857142857143,3.3571428571428568,4.514285714285714,3.7214285714285715,5.457142857142857,REC
std,0.9891990392378193,0.5019237368781471,0.6192307421455596,0.6826319612776882,0.6234277275829767,0.5836490884970192,0.6582805886043835,REC
