ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,6.214285714285714,3.857142857142857,3.9285714285714284,3.5714285714285716,4.642857142857143,3.142857142857143,2.642857142857143,GEO
LRG,6.571428571428571,2.9285714285714284,3.142857142857143,4.5,4.928571428571429,3.142857142857143,2.7857142857142856,GEO
ABC,2.7857142857142856,3.5,4.142857142857143,3.4285714285714284,5.071428571428571,5.5,3.5714285714285716,GEO
QDA,3.857142857142857,4.928571428571429,4.142857142857143,4.785714285714286,3.642857142857143,2.4285714285714284,4.214285714285714,GEO
DTREE,4.785714285714286,4.142857142857143,2.357142857142857,3.5,4.857142857142857,3.9285714285714284,4.428571428571429,GEO
RF,5.0,4.214285714285714,3.0714285714285716,3.2857142857142856,3.7142857142857144,4.214285714285714,4.5,GEO
MLP,6.642857142857143,3.357142857142857,2.9285714285714284,3.9285714285714284,3.0714285714285716,3.2142857142857144,4.857142857142857,GEO
GNB,4.142857142857143,3.7142857142857144,3.5714285714285716,3.0,4.214285714285714,4.428571428571429,4.928571428571429,GEO
KNN,4.857142857142857,3.5714285714285716,2.5714285714285716,3.5714285714285716,4.142857142857143,4.285714285714286,5.0,GEO
SGD,6.0,3.5714285714285716,3.7142857142857144,2.4285714285714284,3.857142857142857,3.142857142857143,5.285714285714286,GEO
avarage,5.085714285714285,3.7785714285714285,3.3571428571428568,3.6,4.214285714285714,3.742857142857143,4.2214285714285715,GEO
std,1.2727743902695705,0.5496339742673613,0.6379886193797268,0.6827980315784732,0.6546536707079771,0.8941736326132476,0.9273190577792709,GEO
