ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.071428571428571,3.357142857142857,2.5,4.928571428571429,5.0,3.7857142857142856,3.357142857142857,F1
SVM,5.142857142857143,3.7142857142857144,3.2142857142857144,4.0,4.285714285714286,3.5714285714285716,4.071428571428571,F1
ABC,2.357142857142857,3.5,3.7857142857142856,3.142857142857143,5.285714285714286,4.928571428571429,5.0,F1
QDA,4.285714285714286,4.785714285714286,3.642857142857143,3.9285714285714284,3.5,2.857142857142857,5.0,F1
RF,4.214285714285714,4.357142857142857,3.0714285714285716,2.2857142857142856,4.214285714285714,4.571428571428571,5.285714285714286,F1
SGD,4.571428571428571,3.4285714285714284,3.5,3.142857142857143,4.571428571428571,3.5,5.285714285714286,F1
DTREE,4.285714285714286,3.9285714285714284,2.357142857142857,2.642857142857143,5.428571428571429,3.9285714285714284,5.428571428571429,F1
GNB,3.357142857142857,3.5714285714285716,3.5,2.7857142857142856,4.571428571428571,4.0,6.214285714285714,F1
MLP,6.142857142857143,3.0714285714285716,2.5,3.2142857142857144,3.4285714285714284,3.357142857142857,6.285714285714286,F1
KNN,3.4285714285714284,4.0,1.9285714285714286,3.9285714285714284,4.428571428571429,3.9285714285714284,6.357142857142857,F1
avarage,4.285714285714286,3.7714285714285714,3.0,3.4,4.471428571428571,3.842857142857143,5.228571428571429,F1
std,1.0647942749998998,0.510435321747109,0.6362090102803517,0.789816132912923,0.667686295098328,0.5917037930289168,0.963506445853796,F1
