ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.785714285714286,3.0,3.5,4.785714285714286,4.642857142857143,3.5714285714285716,2.7142857142857144,PRE
SVM,5.928571428571429,3.5,3.9285714285714284,4.0,4.142857142857143,3.4285714285714284,3.0714285714285716,PRE
QDA,4.0,4.357142857142857,3.857142857142857,4.642857142857143,4.0,3.357142857142857,3.7857142857142856,PRE
RF,4.857142857142857,4.285714285714286,3.7857142857142856,2.4285714285714284,4.214285714285714,4.214285714285714,4.214285714285714,PRE
ABC,2.7142857142857144,3.5,3.9285714285714284,3.2857142857142856,4.785714285714286,5.5,4.285714285714286,PRE
GNB,4.142857142857143,2.857142857142857,4.285714285714286,3.4285714285714284,4.071428571428571,4.785714285714286,4.428571428571429,PRE
KNN,3.642857142857143,4.285714285714286,2.5714285714285716,3.857142857142857,4.357142857142857,4.714285714285714,4.571428571428571,PRE
MLP,6.285714285714286,3.357142857142857,3.4285714285714284,3.2857142857142856,3.142857142857143,3.7857142857142856,4.714285714285714,PRE
DTREE,4.785714285714286,3.7142857142857144,2.642857142857143,3.0,5.0,4.0,4.857142857142857,PRE
SGD,5.571428571428571,3.7142857142857144,4.0,2.357142857142857,3.857142857142857,3.5,5.0,PRE
avarage,4.771428571428571,3.6571428571428575,3.5928571428571425,3.5071428571428562,4.221428571428571,4.085714285714286,4.164285714285714,PRE
std,1.145235620232946,0.5268311118453077,0.5734586953595233,0.8257821139824008,0.5264543617554497,0.7125375432683484,0.7582127810286454,PRE
