ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
QDA,3.857142857142857,4.5,4.0,4.714285714285714,4.0,3.2857142857142856,3.642857142857143,PRE
LRG,5.857142857142857,2.7857142857142856,3.0714285714285716,4.642857142857143,4.5,3.2142857142857144,3.9285714285714284,PRE
RF,4.928571428571429,4.142857142857143,3.642857142857143,2.2857142857142856,4.357142857142857,4.071428571428571,4.571428571428571,PRE
SVM,5.928571428571429,3.2142857142857144,3.5714285714285716,3.7142857142857144,3.857142857142857,3.142857142857143,4.571428571428571,PRE
ABC,2.5714285714285716,3.2857142857142856,3.642857142857143,3.2857142857142856,5.0,5.357142857142857,4.857142857142857,PRE
GNB,3.9285714285714284,2.857142857142857,4.0,3.357142857142857,3.857142857142857,4.714285714285714,5.285714285714286,PRE
KNN,3.5,4.142857142857143,2.4285714285714284,3.857142857142857,4.214285714285714,4.428571428571429,5.428571428571429,PRE
SGD,5.428571428571429,3.7142857142857144,4.142857142857143,2.2142857142857144,3.7142857142857144,3.357142857142857,5.428571428571429,PRE
MLP,6.142857142857143,3.142857142857143,3.2857142857142856,3.142857142857143,3.142857142857143,3.5,5.642857142857143,PRE
DTREE,4.714285714285714,3.4285714285714284,2.357142857142857,2.857142857142857,4.857142857142857,3.857142857142857,5.928571428571429,PRE
avarage,4.685714285714286,3.5214285714285714,3.4142857142857146,3.407142857142857,4.15,3.8928571428571432,4.928571428571429,PRE
std,1.1919990260082158,0.5822876925679435,0.629760779547109,0.8565143198133651,0.5568069805645778,0.7432614894660936,0.7491491772643941,PRE
