ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.5,4.214285714285714,4.642857142857143,3.142857142857143,3.5,2.642857142857143,3.357142857142857,SPE
LRG,6.571428571428571,2.857142857142857,3.2142857142857144,4.214285714285714,4.642857142857143,3.0714285714285716,3.4285714285714284,SPE
SVM,6.214285714285714,3.7142857142857144,3.7857142857142856,3.4285714285714284,4.214285714285714,2.857142857142857,3.7857142857142856,SPE
ABC,3.7142857142857144,2.5714285714285716,4.214285714285714,3.642857142857143,4.142857142857143,5.642857142857143,4.071428571428571,SPE
RF,5.5,4.142857142857143,3.9285714285714284,3.857142857142857,3.2142857142857144,3.2142857142857144,4.142857142857143,SPE
QDA,3.7857142857142856,4.571428571428571,3.7142857142857144,3.9285714285714284,4.285714285714286,3.4285714285714284,4.285714285714286,SPE
DTREE,4.357142857142857,4.928571428571429,3.0714285714285716,3.9285714285714284,3.7142857142857144,3.0714285714285716,4.928571428571429,SPE
MLP,6.857142857142857,3.142857142857143,3.9285714285714284,2.7142857142857144,2.5714285714285716,3.642857142857143,5.142857142857143,SPE
KNN,5.428571428571429,2.7857142857142856,2.7142857142857144,3.2857142857142856,3.7142857142857144,4.642857142857143,5.428571428571429,SPE
GNB,4.357142857142857,3.0714285714285716,3.5,3.357142857142857,2.7142857142857144,5.428571428571429,5.571428571428571,SPE
avarage,5.328571428571428,3.6,3.6714285714285717,3.55,3.6714285714285717,3.7642857142857147,4.414285714285714,SPE
std,1.1995842061204773,0.8269826036606632,0.5676462121975467,0.449300287446291,0.6836277779431658,1.082246969689156,0.8065772705848067,SPE
