ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.142857142857143,3.5714285714285716,3.0714285714285716,4.0,4.285714285714286,3.5714285714285716,4.357142857142857,F1
LRG,5.071428571428571,3.0714285714285716,2.2142857142857144,4.714285714285714,4.857142857142857,3.5,4.571428571428571,F1
GNB,3.5,3.7857142857142856,3.7857142857142856,3.2142857142857144,4.857142857142857,4.0,4.857142857142857,F1
QDA,4.428571428571429,4.785714285714286,3.5714285714285716,3.857142857142857,3.5,2.857142857142857,5.0,F1
ABC,2.2142857142857144,3.5,3.642857142857143,3.142857142857143,5.285714285714286,5.071428571428571,5.142857142857143,F1
RF,4.285714285714286,4.285714285714286,3.0714285714285716,2.142857142857143,4.214285714285714,4.571428571428571,5.428571428571429,F1
KNN,3.5,4.071428571428571,1.9285714285714286,4.0,4.642857142857143,4.0,5.857142857142857,F1
SGD,4.571428571428571,3.2857142857142856,3.5,3.0,4.428571428571429,3.357142857142857,5.857142857142857,F1
DTREE,4.142857142857143,3.7857142857142856,2.2142857142857144,2.642857142857143,5.357142857142857,3.9285714285714284,5.928571428571429,F1
MLP,6.071428571428571,3.0714285714285716,2.5,3.0714285714285716,3.4285714285714284,3.357142857142857,6.5,F1
avarage,4.292857142857143,3.7214285714285715,2.95,3.378571428571429,4.485714285714286,3.8214285714285707,5.35,F1
std,1.0639687394176813,0.5465310102132508,0.6851601597031488,0.7582127810286455,0.6587970897341433,0.6435181786542656,0.681343543994739,F1
