ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.14,4.5,4.79,3.14,2.93,GEO
SVM,6.21,3.43,3.64,3.29,4.29,2.86,4.29,GEO
ABC,2.64,3.43,4.0,3.29,4.79,5.43,4.43,GEO
RF,4.93,4.0,3.21,3.14,3.57,4.36,4.79,GEO
DTREE,4.64,4.07,2.36,3.5,4.57,3.71,5.14,GEO
SGD,5.71,3.57,4.0,2.57,4.0,3.0,5.14,GEO
KNN,4.86,3.57,2.29,3.43,4.07,4.14,5.64,GEO
MLP,6.64,3.21,2.64,3.79,2.93,3.07,5.71,GEO
avarage,5.28,3.53,3.16,3.44,4.12,3.71,4.76,GEO
std,1.32,0.38,0.69,0.55,0.64,0.89,0.9,GEO
