ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.86,3.0,3.36,4.64,4.5,3.43,3.21,PRE
ABC,2.57,3.57,4.14,3.43,5.21,5.79,3.29,PRE
SVM,5.79,3.36,3.71,3.86,4.0,3.29,4.0,PRE
DTREE,4.79,3.79,2.71,3.0,5.14,4.14,4.43,PRE
KNN,3.71,4.29,2.57,3.86,4.21,4.43,4.93,PRE
RF,4.93,4.14,3.5,2.14,4.21,4.07,5.0,PRE
SGD,5.57,3.71,4.14,2.21,3.86,3.5,5.0,PRE
MLP,6.07,3.0,3.21,3.14,3.0,3.64,5.93,PRE
avarage,4.91,3.61,3.42,3.29,4.27,4.04,4.47,PRE
std,1.22,0.48,0.59,0.85,0.71,0.81,0.93,PRE
