ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.71,4.36,3.57,4.29,REC
ABC,2.14,3.71,3.86,3.43,5.5,4.93,4.43,REC
SGD,4.29,3.79,4.14,3.0,4.64,3.71,4.43,REC
SVM,4.79,3.43,3.43,3.93,4.14,3.29,5.0,REC
DTREE,3.86,3.57,2.29,3.07,5.43,4.0,5.79,REC
RF,3.43,3.86,3.36,2.36,4.57,4.43,6.0,REC
KNN,3.07,4.36,1.93,3.86,4.57,4.0,6.21,REC
MLP,5.64,3.21,2.79,2.86,3.71,3.36,6.43,REC
avarage,4.01,3.66,3.08,3.4,4.62,3.91,5.32,REC
std,1.12,0.36,0.76,0.74,0.6,0.56,0.88,REC
