ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.93,3.14,4.57,4.79,3.14,2.79,GEO
ABC,2.93,3.36,3.86,3.36,5.07,5.71,3.71,GEO
SVM,6.14,3.43,3.57,3.36,4.36,2.79,4.36,GEO
RF,5.07,4.14,3.07,3.29,3.71,4.21,4.5,GEO
DTREE,4.71,4.14,2.5,3.43,4.71,3.71,4.79,GEO
SGD,5.86,3.71,4.0,2.43,4.0,3.14,4.86,GEO
KNN,4.86,3.43,2.29,3.29,4.07,4.14,5.93,GEO
MLP,6.57,3.07,2.64,3.64,2.79,3.07,6.21,GEO
avarage,5.35,3.53,3.13,3.42,4.19,3.74,4.64,GEO
std,1.23,0.45,0.64,0.59,0.73,0.95,1.11,GEO
