ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,3.0,3.36,4.71,4.5,3.43,3.21,PRE
SVM,5.93,3.36,3.71,4.0,4.21,3.29,3.5,PRE
ABC,2.71,3.21,3.79,3.36,4.79,5.5,4.64,PRE
DTREE,4.64,3.79,2.79,2.86,5.14,4.0,4.79,PRE
MLP,6.36,3.21,3.43,3.29,3.29,3.64,4.79,PRE
RF,4.86,4.07,3.57,2.21,4.29,4.14,4.86,PRE
KNN,3.57,4.0,2.43,3.79,4.36,4.5,5.36,PRE
SGD,5.64,3.57,3.86,2.21,3.57,3.5,5.64,PRE
avarage,4.94,3.53,3.37,3.3,4.27,4.0,4.6,PRE
std,1.26,0.39,0.51,0.87,0.6,0.73,0.84,PRE
