ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,3.0,3.5,4.93,4.71,3.5,2.57,PRE
SVM,5.93,3.5,4.0,4.0,4.14,3.43,3.0,PRE
RF,5.0,4.21,3.71,2.21,4.36,4.0,4.5,PRE
SGD,5.57,3.86,3.93,2.5,3.86,3.64,4.64,PRE
KNN,3.64,4.29,2.43,3.71,4.21,4.43,5.29,PRE
MLP,6.29,3.14,3.29,3.21,3.0,3.64,5.43,PRE
ABC,2.43,3.29,3.71,3.29,4.64,5.07,5.57,PRE
DTREE,4.64,3.57,2.36,2.86,5.0,3.86,5.71,PRE
avarage,4.91,3.61,3.37,3.34,4.24,3.95,4.59,PRE
std,1.31,0.48,0.64,0.87,0.62,0.56,1.2,PRE
