ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.71,4.36,3.57,4.29,REC
DTREE,4.29,3.86,2.5,2.93,5.86,4.07,4.5,REC
SVM,4.93,3.57,3.57,3.79,4.0,3.29,4.86,REC
RF,3.64,4.07,3.5,2.43,4.86,4.57,4.93,REC
ABC,2.0,3.57,3.43,3.14,5.43,5.07,5.36,REC
SGD,4.14,3.5,4.0,2.86,4.21,3.43,5.86,REC
KNN,3.14,4.43,1.93,3.86,4.57,4.0,6.07,REC
MLP,5.64,3.21,2.79,3.0,3.71,3.36,6.29,REC
avarage,4.08,3.7,3.07,3.34,4.62,3.92,5.27,REC
std,1.15,0.4,0.67,0.73,0.73,0.64,0.74,REC
