ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.29,3.43,4.43,4.93,3.43,1.93,SPE
SVM,6.14,3.93,4.07,3.71,4.43,3.14,2.57,SPE
ABC,3.86,2.71,4.21,3.79,4.29,5.71,3.43,SPE
KNN,5.5,3.07,2.93,3.64,4.21,5.0,3.64,SPE
DTREE,4.43,5.14,3.36,4.29,3.71,3.21,3.86,SPE
SGD,6.36,4.21,4.29,3.0,3.5,2.79,3.86,SPE
MLP,6.86,3.43,4.07,2.93,2.86,3.64,4.21,SPE
RF,5.43,4.07,3.79,3.93,3.14,3.21,4.43,SPE
avarage,5.64,3.73,3.77,3.71,3.88,3.77,3.49,SPE
std,1.06,0.77,0.48,0.54,0.7,1.03,0.84,SPE
