ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,3.0,3.5,4.93,4.79,3.43,2.57,PRE
SVM,5.93,3.5,3.93,4.0,4.14,3.29,3.21,PRE
ABC,2.64,3.43,3.86,3.43,5.07,5.43,4.14,PRE
SGD,5.71,3.93,4.29,2.5,3.86,3.36,4.36,PRE
KNN,3.71,4.43,2.43,3.86,4.36,4.64,4.57,PRE
RF,4.86,4.14,3.64,2.14,4.21,4.21,4.79,PRE
MLP,6.21,3.21,3.43,3.29,3.14,3.64,5.07,PRE
DTREE,4.5,3.57,2.36,2.86,4.79,3.71,6.21,PRE
avarage,4.92,3.65,3.43,3.38,4.29,3.96,4.37,PRE
std,1.25,0.48,0.69,0.89,0.61,0.75,1.12,PRE
