ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.79,2.93,4.71,4.86,3.29,2.93,IBA
SVM,6.5,3.5,3.86,3.21,4.43,2.36,4.14,IBA
ABC,3.07,3.14,4.0,3.14,5.14,5.29,4.21,IBA
SGD,5.71,3.86,4.14,2.57,3.86,3.14,4.71,IBA
RF,5.29,4.29,2.93,3.14,3.36,4.07,4.93,IBA
KNN,5.14,4.07,2.29,2.93,4.29,4.14,5.14,IBA
DTREE,4.29,3.79,2.21,3.43,4.71,3.57,6.0,IBA
MLP,6.64,3.29,2.93,3.43,2.79,2.93,6.0,IBA
avarage,5.39,3.59,3.16,3.32,4.18,3.6,4.76,IBA
std,1.24,0.5,0.75,0.63,0.8,0.9,1.02,IBA
