ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.14,4.64,5.07,3.14,2.5,GEO
SVM,6.14,3.71,3.86,3.5,4.5,3.07,3.21,GEO
ABC,2.79,3.36,4.14,3.43,5.07,5.57,3.64,GEO
RF,5.14,4.21,3.21,3.43,3.86,4.29,3.86,GEO
KNN,5.0,3.79,2.57,3.57,4.29,4.36,4.43,GEO
SGD,6.14,3.57,3.86,2.57,4.07,3.0,4.79,GEO
MLP,6.64,3.21,2.79,3.79,3.0,3.29,5.29,GEO
DTREE,4.64,3.86,2.29,3.29,4.71,3.71,5.5,GEO
avarage,5.38,3.58,3.23,3.53,4.32,3.8,4.15,GEO
std,1.29,0.4,0.67,0.57,0.69,0.89,1.04,GEO
