ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.29,3.5,4.43,4.93,3.5,1.79,SPE
SVM,6.21,4.0,4.14,3.79,4.5,3.21,2.14,SPE
ABC,4.0,2.93,4.5,4.0,4.43,5.93,2.21,SPE
DTREE,4.57,5.36,3.5,4.43,4.14,3.5,2.5,SPE
MLP,6.93,3.64,4.21,3.07,3.0,3.86,3.29,SPE
RF,5.57,4.21,4.14,4.07,3.29,3.21,3.5,SPE
KNN,5.57,3.07,3.0,3.64,4.21,5.0,3.5,SPE
SGD,6.29,4.21,4.43,2.86,3.5,2.36,4.36,SPE
avarage,5.71,3.84,3.93,3.79,4.0,3.82,2.91,SPE
std,1.01,0.79,0.53,0.58,0.67,1.13,0.88,SPE
