ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.93,3.14,4.5,4.93,3.14,2.71,GEO
SVM,6.21,3.71,3.93,3.57,4.57,3.14,2.86,GEO
ABC,2.64,3.5,4.0,3.29,5.07,5.57,3.93,GEO
RF,5.0,4.14,3.07,3.43,3.57,4.36,4.43,GEO
SGD,6.14,3.57,4.0,2.57,4.14,3.14,4.43,GEO
DTREE,4.86,4.14,2.36,3.43,5.0,3.71,4.5,GEO
KNN,4.86,3.71,2.43,3.5,4.21,4.36,4.93,GEO
MLP,6.64,3.36,2.86,3.86,3.0,3.36,4.93,GEO
avarage,5.38,3.63,3.22,3.52,4.31,3.85,4.09,GEO
std,1.34,0.4,0.68,0.54,0.74,0.87,0.87,GEO
