ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,2.86,3.36,4.93,4.64,3.29,3.14,PRE
SVM,5.79,3.5,3.93,4.0,4.14,3.43,3.21,PRE
DTREE,4.93,4.0,2.86,3.0,5.29,4.14,3.79,PRE
SGD,5.71,4.0,4.29,2.36,4.0,3.5,4.14,PRE
RF,4.86,4.21,3.64,2.29,4.36,4.14,4.5,PRE
ABC,2.57,3.21,3.57,3.14,4.64,5.36,5.5,PRE
MLP,6.21,3.14,3.29,3.14,3.0,3.57,5.64,PRE
KNN,3.64,4.0,2.43,3.71,4.07,4.29,5.86,PRE
avarage,4.94,3.62,3.42,3.32,4.27,3.96,4.47,PRE
std,1.25,0.5,0.59,0.88,0.66,0.68,1.09,PRE
