ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.21,2.71,4.57,4.21,3.43,5.0,REC
DTREE,4.0,3.86,2.43,3.07,5.43,4.14,5.07,REC
RF,3.5,4.0,3.36,2.36,4.79,4.5,5.5,REC
ABC,2.0,3.5,3.43,3.14,5.36,4.79,5.79,REC
SVM,4.71,3.43,3.43,3.64,3.86,3.14,5.79,REC
KNN,3.14,4.29,2.07,3.86,4.57,4.0,6.07,REC
MLP,5.57,3.21,2.86,2.86,3.86,3.36,6.29,REC
SGD,4.0,3.5,3.71,2.71,4.21,3.43,6.43,REC
avarage,3.97,3.62,3.0,3.28,4.54,3.85,5.74,REC
std,1.11,0.39,0.57,0.71,0.62,0.6,0.53,REC
