ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.14,3.71,3.21,4.0,4.29,3.57,4.07,F1
LRG,4.93,3.07,2.36,4.86,5.0,3.64,4.14,F1
DTREE,4.57,3.93,2.36,2.64,5.64,3.93,4.93,F1
ABC,2.36,3.5,3.64,3.29,5.29,4.93,5.0,F1
RF,4.07,4.21,3.07,2.29,4.43,4.71,5.21,F1
MLP,6.29,3.07,2.57,3.14,3.57,3.5,5.86,F1
KNN,3.43,4.0,2.07,3.93,4.43,3.93,6.21,F1
SGD,4.43,3.14,3.21,3.0,4.36,3.36,6.5,F1
avarage,4.4,3.58,2.81,3.39,4.62,3.95,5.24,F1
std,1.17,0.45,0.55,0.83,0.65,0.58,0.9,F1
