ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.29,3.43,4.43,4.93,3.43,1.93,SPE
SVM,6.21,4.0,4.14,3.79,4.5,3.21,2.14,SPE
DTREE,4.36,5.36,3.43,4.29,4.07,3.43,3.07,SPE
ABC,4.0,2.71,4.36,3.93,4.14,5.79,3.07,SPE
SGD,6.43,4.14,4.57,3.14,3.71,2.64,3.36,SPE
KNN,5.5,3.07,3.0,3.57,4.14,4.93,3.79,SPE
RF,5.5,4.0,4.14,3.93,3.21,3.36,3.86,SPE
MLP,6.93,3.29,4.14,3.0,2.71,3.79,4.14,SPE
avarage,5.69,3.73,3.9,3.76,3.93,3.82,3.17,SPE
std,1.06,0.83,0.55,0.5,0.7,1.03,0.8,SPE
