ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.14,4.5,4.93,3.29,2.64,GEO
SVM,6.14,3.64,3.86,3.5,4.5,3.07,3.29,GEO
KNN,5.07,3.86,2.71,3.86,4.36,4.64,3.5,GEO
RF,5.14,4.14,3.21,3.5,3.79,4.29,3.93,GEO
ABC,2.57,3.29,4.0,3.29,4.93,5.43,4.5,GEO
SGD,6.0,3.57,4.14,2.29,4.29,3.0,4.71,GEO
DTREE,4.64,4.14,2.43,3.29,4.93,3.57,5.0,GEO
MLP,6.57,3.21,2.79,3.79,2.93,3.21,5.5,GEO
avarage,5.34,3.6,3.29,3.5,4.33,3.81,4.13,GEO
std,1.33,0.44,0.64,0.63,0.69,0.88,0.96,GEO
