ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,3.0,3.5,4.93,4.79,3.5,2.5,PRE
SVM,5.86,3.5,3.86,4.0,4.14,3.43,3.21,PRE
RF,4.93,4.29,3.79,2.36,4.36,4.43,3.86,PRE
ABC,2.79,3.57,4.0,3.29,4.79,5.5,4.07,PRE
MLP,6.5,3.29,3.43,3.5,3.29,3.64,4.36,PRE
SGD,5.57,3.57,4.0,2.36,3.93,3.5,5.07,PRE
DTREE,4.79,3.64,2.5,2.86,5.0,3.71,5.5,PRE
KNN,3.5,4.07,2.43,3.71,4.21,4.29,5.79,PRE
avarage,4.96,3.62,3.44,3.38,4.31,4.0,4.29,PRE
std,1.26,0.41,0.64,0.87,0.56,0.71,1.13,PRE
