ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.79,4.36,3.57,4.21,REC
RF,3.71,4.21,3.57,2.57,4.86,4.79,4.29,REC
ABC,2.07,3.71,3.71,3.29,5.64,4.93,4.64,REC
SVM,4.86,3.57,3.57,3.79,4.0,3.29,4.93,REC
MLP,5.71,3.29,2.79,3.0,3.86,3.5,5.86,REC
DTREE,3.93,3.71,2.43,2.93,5.36,3.64,6.0,REC
SGD,4.0,3.64,3.71,2.86,4.07,3.57,6.14,REC
KNN,3.0,4.29,1.93,3.71,4.43,3.86,6.79,REC
avarage,4.02,3.72,3.07,3.37,4.57,3.89,5.36,REC
std,1.15,0.36,0.67,0.71,0.65,0.62,0.96,REC
