ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.93,3.36,2.5,5.0,5.14,3.79,3.29,F1
SVM,5.07,3.71,3.21,4.0,4.29,3.57,4.14,F1
SGD,4.71,3.57,3.57,3.14,4.57,3.64,4.79,F1
ABC,2.21,3.57,3.64,3.14,5.57,5.0,4.86,F1
RF,4.36,4.5,3.14,2.14,4.29,4.64,4.93,F1
DTREE,4.21,3.93,2.36,2.64,5.29,3.86,5.71,F1
KNN,3.5,4.0,1.93,3.93,4.43,3.93,6.29,F1
MLP,6.07,3.07,2.5,3.21,3.5,3.36,6.29,F1
avarage,4.38,3.71,2.86,3.4,4.63,3.97,5.04,F1
std,1.15,0.44,0.62,0.89,0.67,0.56,1.04,F1
