ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.79,3.07,4.71,4.93,3.36,2.64,IBA
SGD,5.71,4.0,4.29,2.71,4.0,3.43,3.86,IBA
SVM,6.5,3.5,3.86,3.21,4.43,2.5,4.0,IBA
RF,5.29,4.29,3.0,3.43,3.57,4.29,4.14,IBA
ABC,2.86,3.07,4.0,3.14,5.21,5.57,4.14,IBA
MLP,6.64,3.43,2.93,3.57,2.93,3.14,5.36,IBA
KNN,4.64,4.07,2.29,3.07,4.36,4.07,5.5,IBA
DTREE,4.21,3.93,2.36,3.43,4.71,3.57,5.79,IBA
avarage,5.29,3.63,3.22,3.41,4.27,3.74,4.43,IBA
std,1.33,0.53,0.75,0.59,0.75,0.92,1.05,IBA
