ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.93,2.86,3.07,4.64,4.5,3.29,3.71,PRE
SVM,5.93,3.21,3.57,3.71,3.86,3.14,4.57,PRE
ABC,2.43,3.21,3.71,3.43,4.79,5.36,5.07,PRE
SGD,5.86,3.71,3.86,2.21,3.57,3.5,5.29,PRE
RF,4.86,4.0,3.5,2.14,3.93,4.14,5.43,PRE
KNN,3.5,4.14,2.43,3.86,4.21,4.43,5.43,PRE
DTREE,4.57,3.57,2.36,2.86,4.86,3.93,5.86,PRE
MLP,6.07,3.0,3.14,3.0,3.0,3.36,6.43,PRE
avarage,4.89,3.46,3.21,3.23,4.09,3.89,5.22,PRE
std,1.34,0.47,0.57,0.85,0.63,0.74,0.82,PRE
