ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.79,2.86,4.5,4.79,3.0,3.57,GEO
SVM,6.21,3.43,3.64,3.29,4.29,2.86,4.29,GEO
ABC,2.79,3.29,3.86,3.29,4.93,5.29,4.57,GEO
RF,4.79,3.86,3.14,3.07,3.64,4.29,5.21,GEO
DTREE,4.57,4.14,2.36,3.29,4.57,3.71,5.36,GEO
KNN,4.86,3.5,2.43,3.43,4.14,4.21,5.43,GEO
SGD,5.71,3.43,3.71,2.29,3.71,3.0,6.14,GEO
MLP,6.57,3.07,2.64,3.64,2.79,3.07,6.21,GEO
avarage,5.25,3.44,3.08,3.35,4.11,3.68,5.1,GEO
std,1.27,0.42,0.6,0.61,0.71,0.86,0.91,GEO
