ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.21,3.57,3.07,4.0,4.29,3.57,4.29,F1
ABC,2.21,3.64,3.71,3.29,5.43,5.21,4.5,F1
LRG,5.07,3.07,2.21,4.71,4.86,3.5,4.57,F1
RF,4.14,4.36,3.07,2.29,4.43,4.71,5.0,F1
DTREE,4.43,3.93,2.36,2.71,5.43,4.0,5.14,F1
SGD,4.57,3.29,3.5,3.14,4.57,3.36,5.57,F1
KNN,3.64,4.21,1.93,4.0,4.43,4.0,5.79,F1
MLP,6.0,3.07,2.5,3.07,3.43,3.36,6.57,F1
avarage,4.41,3.64,2.79,3.4,4.61,3.96,5.18,F1
std,1.14,0.49,0.64,0.79,0.65,0.68,0.77,F1
