ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.86,4.36,3.57,4.14,REC
ABC,2.0,3.5,3.57,3.29,5.5,4.93,5.21,REC
RF,3.57,3.86,3.5,2.36,4.86,4.5,5.36,REC
SGD,4.29,3.64,3.86,2.86,4.36,3.57,5.43,REC
KNN,3.21,4.43,2.0,3.93,4.71,4.07,5.64,REC
DTREE,3.86,3.86,2.43,2.86,5.43,3.93,5.64,REC
SVM,4.71,3.43,3.43,3.64,3.86,3.14,5.79,REC
MLP,5.64,3.21,2.79,3.0,3.71,3.36,6.29,REC
avarage,4.02,3.66,3.05,3.35,4.6,3.88,5.44,REC
std,1.12,0.39,0.64,0.78,0.66,0.6,0.62,REC
