,alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA
1.0,1.0,4.85,5.385714285714285,4.6571428571428575,4.3500000000000005,4.207142857142856,4.107142857142858,4.292857142857144,4.378571428571429,4.371428571428571,4.842857142857143,5.614285714285715,4.742857142857141,4.4,4.321428571428571,4.178571428571429,4.578571428571428,4.642857142857143,4.492857142857143
1.5,1.5,4.814285714285715,5.142857142857143,4.542857142857144,4.385714285714285,4.478571428571428,4.142857142857143,4.007142857142858,4.235714285714286,4.4,4.971428571428572,5.292857142857144,4.664285714285715,4.5214285714285705,4.671428571428573,4.364285714285714,4.15,4.4071428571428575,4.485714285714286
2.0,2.0,4.621428571428571,5.071428571428571,4.935714285714285,3.957142857142857,4.314285714285715,4.357142857142857,4.1,4.314285714285714,4.114285714285714,4.814285714285715,5.221428571428572,5.014285714285714,4.178571428571429,4.492857142857141,4.55,4.4,4.6428571428571415,4.307142857142858
2.5,2.5,4.792857142857144,5.064285714285714,4.6,4.385714285714286,4.378571428571428,4.199999999999998,4.192857142857143,4.242857142857142,4.335714285714286,4.942857142857143,5.207142857142856,4.842857142857143,4.507142857142859,4.5214285714285705,4.428571428571429,4.407142857142857,4.442857142857143,4.55
3.0,3.0,4.614285714285714,5.1,4.65,4.214285714285714,4.164285714285715,4.199999999999998,4.364285714285714,4.135714285714286,4.335714285714285,4.771428571428572,5.1571428571428575,4.764285714285714,4.457142857142856,4.478571428571429,4.457142857142856,4.45,4.271428571428571,4.514285714285714
3.5,3.5,4.864285714285716,5.192857142857143,4.571428571428571,4.4071428571428575,4.457142857142856,4.235714285714286,4.371428571428572,4.242857142857143,4.6,5.000000000000001,5.257142857142859,4.764285714285714,4.507142857142857,4.692857142857143,4.4071428571428575,4.378571428571429,4.442857142857141,4.549999999999999
4.0,4.0,4.7785714285714285,5.200000000000001,4.671428571428572,4.05,4.15,4.285714285714287,4.171428571428572,4.092857142857143,4.007142857142858,4.85,5.314285714285715,4.757142857142859,4.1571428571428575,4.371428571428571,4.564285714285714,4.4,4.228571428571429,4.185714285714285
4.5,4.5,4.792857142857144,5.192857142857143,4.95,4.492857142857143,4.285714285714286,4.299999999999999,4.292857142857144,4.314285714285715,4.378571428571429,4.842857142857143,5.242857142857141,5.042857142857144,4.7214285714285715,4.607142857142857,4.435714285714286,4.564285714285715,4.407142857142857,4.499999999999999
5.0,5.0,4.814285714285715,5.2,4.485714285714286,4.242857142857143,4.021428571428571,4.385714285714286,4.071428571428571,4.107142857142858,4.442857142857141,4.792857142857144,5.371428571428571,4.642857142857143,4.642857142857143,4.257142857142857,4.457142857142856,4.249999999999999,4.142857142857143,4.664285714285713
5.5,5.5,4.678571428571429,5.050000000000002,4.614285714285714,4.25,4.1571428571428575,4.485714285714286,3.9071428571428566,4.228571428571428,4.371428571428571,4.842857142857143,5.242857142857141,4.814285714285715,4.507142857142859,4.357142857142857,4.485714285714286,4.2785714285714285,4.364285714285715,4.514285714285714
6.0,6.0,4.928571428571429,5.2785714285714285,4.742857142857141,4.2785714285714285,4.157142857142857,4.128571428571429,4.264285714285714,4.364285714285715,3.9071428571428566,4.942857142857141,5.364285714285715,4.792857142857144,4.378571428571429,4.464285714285714,4.164285714285715,4.442857142857141,4.585714285714286,4.021428571428571
6.5,6.5,4.957142857142856,5.050000000000002,4.785714285714286,4.164285714285714,4.292857142857144,4.535714285714286,4.171428571428572,4.271428571428572,4.4,5.128571428571427,5.128571428571427,4.892857142857143,4.357142857142857,4.678571428571429,4.514285714285714,4.299999999999999,4.392857142857142,4.378571428571429
7.0,7.0,4.957142857142856,5.185714285714286,4.842857142857143,4.392857142857143,4.392857142857143,4.514285714285714,4.342857142857143,3.97142857142857,4.485714285714286,5.171428571428573,5.35,4.878571428571427,4.478571428571429,4.578571428571427,4.571428571428571,4.7,4.142857142857143,4.728571428571429
7.5,7.5,5.007142857142857,4.871428571428573,4.907142857142857,4.307142857142858,4.3,4.2,4.185714285714285,4.014285714285714,4.057142857142858,5.064285714285715,4.992857142857143,4.914285714285714,4.257142857142857,4.571428571428571,4.342857142857143,4.392857142857143,4.271428571428571,4.35
8.0,8.0,5.042857142857144,5.121428571428573,4.421428571428573,3.9928571428571433,4.1571428571428575,4.435714285714285,3.9928571428571433,4.542857142857144,4.357142857142857,5.064285714285715,5.221428571428572,4.564285714285714,4.357142857142857,4.442857142857143,4.55,4.114285714285715,4.735714285714286,4.5
8.5,8.5,4.771428571428571,4.907142857142857,4.671428571428572,4.392857142857142,4.507142857142859,4.178571428571429,4.364285714285714,4.2,4.171428571428572,4.864285714285716,5.021428571428571,4.792857142857144,4.5,4.757142857142859,4.285714285714286,4.6071428571428585,4.378571428571429,4.442857142857143
9.0,9.0,4.871428571428573,5.1,4.807142857142857,4.535714285714286,4.435714285714285,4.364285714285715,4.014285714285714,4.114285714285714,4.228571428571429,4.885714285714285,5.1714285714285735,4.914285714285714,4.628571428571429,4.671428571428573,4.478571428571429,4.157142857142857,4.271428571428571,4.485714285714286
9.5,9.5,4.65,4.842857142857143,4.828571428571428,4.371428571428572,4.357142857142858,4.242857142857142,4.264285714285714,4.300000000000002,4.2142857142857135,4.7785714285714285,4.957142857142856,5.1,4.542857142857144,4.671428571428573,4.378571428571428,4.321428571428571,4.385714285714285,4.442857142857143
