ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,3.36,3.36,4.64,3.93,4.0,3.71,F1
SVM,5.29,3.0,2.93,4.79,3.57,4.0,4.43,F1
ABC,2.0,3.79,4.64,4.14,5.07,3.57,4.79,F1
KNN,3.29,4.36,3.57,3.21,4.71,3.64,5.21,F1
RF,5.07,3.43,2.43,4.0,3.57,3.93,5.57,F1
DTREE,3.64,4.07,3.21,2.14,5.21,3.93,5.79,F1
SGD,4.5,3.29,2.43,3.64,4.14,4.14,5.86,F1
MLP,6.07,2.5,2.79,2.57,3.79,4.14,6.14,F1
avarage,4.36,3.47,3.17,3.64,4.25,3.92,5.19,F1
std,1.31,0.59,0.72,0.95,0.66,0.21,0.83,F1
