ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,3.0,3.86,4.21,4.0,3.57,2.71,SPE
ABC,4.07,4.07,5.5,3.79,2.93,4.57,3.07,SPE
DTREE,5.07,4.86,4.43,4.21,3.21,2.79,3.43,SPE
SVM,6.29,2.43,3.79,3.93,4.57,3.29,3.71,SPE
SGD,6.64,3.5,2.71,3.57,4.36,3.21,4.0,SPE
RF,5.93,4.07,2.79,4.79,2.14,4.07,4.21,SPE
KNN,5.21,3.79,4.14,2.21,4.0,4.29,4.36,SPE
MLP,6.71,3.29,3.5,2.79,3.21,3.93,4.57,SPE
avarage,5.82,3.62,3.84,3.69,3.55,3.71,3.76,SPE
std,0.95,0.75,0.9,0.83,0.82,0.6,0.65,SPE
