ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.93,4.14,4.0,3.71,3.57,3.0,IBA
SVM,5.79,2.5,3.93,3.57,3.93,3.57,4.71,IBA
SGD,6.14,3.14,2.86,3.93,3.86,3.29,4.79,IBA
DTREE,4.07,4.07,3.64,2.86,4.64,3.86,4.86,IBA
ABC,2.71,3.64,4.86,3.86,3.79,4.29,4.86,IBA
RF,5.5,3.14,2.93,4.43,3.14,3.93,4.93,IBA
KNN,4.43,3.43,3.86,2.71,4.29,3.57,5.71,IBA
MLP,6.79,2.0,2.93,2.93,3.79,3.43,6.14,IBA
avarage,5.26,3.11,3.64,3.54,3.89,3.69,4.88,IBA
std,1.41,0.65,0.71,0.63,0.44,0.32,0.92,IBA
