ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,4.07,4.0,5.43,3.93,2.79,4.5,3.29,SPE
LRG,6.57,2.79,3.64,4.14,3.93,3.43,3.5,SPE
SVM,6.29,2.36,3.71,3.93,4.57,3.14,4.0,SPE
RF,5.86,4.0,2.64,4.71,2.07,4.07,4.64,SPE
SGD,6.29,3.43,2.71,3.43,4.29,3.21,4.64,SPE
KNN,5.07,3.71,4.07,2.07,4.0,4.29,4.79,SPE
DTREE,4.71,4.79,4.29,3.71,2.93,2.64,4.93,SPE
MLP,6.64,3.14,3.5,2.79,3.14,3.86,4.93,SPE
avarage,5.69,3.53,3.75,3.59,3.46,3.64,4.34,SPE
std,0.95,0.77,0.89,0.83,0.86,0.64,0.66,SPE
