ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.93,2.99,3.7,3.63,4.43,3.37,2.94,IBA
ABC,5.93,3.47,3.27,3.42,4.23,4.57,3.11,IBA
SVM,6.61,2.87,3.84,3.7,4.48,3.34,3.15,IBA
RF,6.2,3.47,3.48,3.72,3.48,4.45,3.21,IBA
DTREE,5.02,3.8,3.41,4.1,4.53,3.93,3.21,IBA
MLP,6.61,3.1,3.54,3.79,4.08,3.59,3.29,IBA
SGD,5.48,3.61,3.53,3.59,4.35,4.06,3.38,IBA
KNN,5.89,2.99,3.61,3.37,4.3,4.05,3.8,IBA
avarage,6.08,3.29,3.55,3.66,4.23,3.92,3.26,IBA
std,0.64,0.34,0.18,0.23,0.34,0.46,0.25,IBA
